pred,label
253,225
253,253
253,40
253,33
253,143
8,8
253,143
253,22
253,5
237,210
107,143
253,269
253,186
8,77
253,130
8,125
8,80
253,143
253,143
253,143
253,151
32,73
253,143
253,193
271,19
253,244
253,140
253,268
8,383
253,143
253,137
253,132
253,143
8,181
253,8
253,299
253,118
253,177
8,7
32,61
253,143
8,136
253,272
223,16
8,169
253,80
253,143
253,143
8,207
253,225
253,11
253,143
253,190
253,143
8,7
147,229
8,103
8,123
147,244
253,2
253,123
253,284
19,71
253,299
71,241
253,223
253,158
253,148
253,21
253,80
253,122
253,80
223,232
253,18
8,41
253,237
253,104
253,32
253,253
253,149
190,116
8,41
8,140
8,243
8,104
253,151
253,1
190,41
253,163
253,236
253,22
107,106
253,36
253,384
253,108
253,158
253,30
253,3
253,271
61,105
8,241
253,224
253,302
8,253
253,12
253,158
11,74
253,80
253,33
253,143
8,284
253,41
253,25
147,32
253,143
8,384
253,170
71,74
253,30
253,210
253,132
253,22
147,140
253,168
8,77
253,12
253,158
107,145
253,80
271,143
190,104
8,130
253,143
271,157
271,226
253,22
253,236
107,2
253,209
253,46
271,151
271,80
8,5
253,151
8,117
253,143
253,41
253,143
118,61
253,218
153,22
8,107
8,41
253,158
253,196
8,75
253,143
253,287
253,143
253,220
253,41
253,145
253,23
253,107
253,169
8,106
147,144
147,106
107,118
253,85
8,190
8,119
8,8
253,224
147,153
8,384
253,106
8,271
8,15
253,14
6,362
253,143
253,148
253,269
253,143
8,143
8,2
253,143
253,2
253,149
253,16
8,41
223,218
253,143
8,14
253,273
8,7
147,190
253,143
8,190
8,296
253,299
253,377
253,378
253,2
253,22
190,107
8,216
8,175
253,287
253,117
253,171
253,143
253,104
153,224
223,122
253,338
253,6
8,41
107,8
8,45
8,107
147,232
73,117
253,127
253,226
8,158
8,181
253,269
253,31
8,384
190,81
253,14
253,250
153,232
8,8
253,6
253,143
253,80
8,231
78,71
253,153
253,143
253,143
253,106
253,143
253,148
271,333
271,235
253,80
253,269
271,220
8,293
253,30
253,152
253,186
223,147
8,29
147,135
253,28
253,269
253,143
253,143
8,241
253,61
8,7
253,44
253,278
8,91
107,41
253,143
253,7
107,70
8,182
253,143
253,32
253,149
253,287
253,143
253,143
253,354
253,151
8,328
253,148
253,210
107,107
253,143
253,151
107,38
253,40
8,148
253,186
8,318
253,230
253,11
253,14
8,11
253,49
253,158
253,6
253,230
41,3
253,290
253,80
153,362
8,253
