pred,label
47,47
55,54
47,47
47,38
53,53
18,9
46,46
47,47
47,47
21,21
32,35
53,53
45,45
46,46
45,45
47,39
47,47
46,46
55,28
46,46
55,55
27,27
45,45
55,55
47,47
30,30
46,46
32,32
39,39
46,46
45,41
47,47
47,47
21,21
45,47
46,46
47,47
29,29
29,29
45,45
47,47
39,47
47,47
45,45
30,19
31,31
47,47
29,24
31,32
47,47
39,39
47,47
2,2
45,47
46,45
45,45
45,45
47,47
47,47
47,47
47,47
46,46
45,45
45,45
21,47
30,30
47,47
30,30
47,38
32,39
55,35
47,47
46,46
47,39
47,47
53,53
47,47
35,35
55,55
39,24
47,47
47,47
47,47
46,46
21,21
11,11
46,46
45,45
30,30
46,46
54,54
32,32
46,46
47,47
30,30
46,46
29,25
30,30
21,21
31,31
32,32
21,29
32,32
47,47
32,31
46,46
47,47
55,55
46,46
46,29
45,45
45,45
47,47
4,4
47,47
55,55
47,47
35,35
47,38
47,47
46,46
46,46
47,47
32,32
53,21
47,47
47,47
46,46
47,29
47,47
47,47
29,29
31,39
46,46
46,45
55,55
47,47
55,55
46,46
46,47
30,30
46,46
47,47
45,45
45,45
47,22
46,46
47,22
47,39
55,55
29,29
32,31
46,46
47,47
45,45
29,29
47,47
47,23
46,46
47,39
47,55
47,47
47,47
18,18
32,32
47,39
47,47
47,47
45,45
46,46
46,46
47,47
32,31
46,46
47,55
35,35
53,53
47,47
47,47
47,47
54,54
29,29
55,55
47,47
35,35
55,28
47,47
47,47
32,32
30,30
45,45
46,21
47,54
47,38
47,47
32,31
46,46
47,47
54,54
39,32
47,47
45,45
47,32
53,21
47,47
54,54
47,46
47,47
47,47
31,31
47,47
55,55
47,55
46,46
21,21
47,47
47,47
29,29
30,12
32,32
46,46
47,47
49,54
47,46
47,47
47,47
47,47
46,46
46,46
49,49
47,38
47,47
46,46
47,47
46,46
47,47
46,46
45,45
32,47
46,46
39,21
55,55
55,55
32,32
45,45
46,46
47,47
47,47
47,47
55,55
45,45
47,46
47,47
46,46
47,47
29,21
54,54
47,47
46,46
47,47
45,45
47,28
46,46
29,29
45,45
54,54
47,45
47,47
47,47
45,45
53,31
47,47
23,23
46,46
35,31
47,47
30,30
47,45
47,39
47,47
45,45
46,46
46,46
55,55
35,35
29,29
55,55
45,45
47,39
46,46
47,47
46,46
31,25
47,47
29,39
45,41
47,38
47,49
47,47
55,55
30,19
47,47
31,31
45,46
46,46
55,55
35,35
55,55
47,47
21,21
54,54
47,47
45,45
47,47
32,47
47,38
31,31
47,47
46,46
46,46
47,47
55,55
35,38
45,45
47,47
46,46
46,16
45,45
55,55
47,47
47,39
47,29
46,46
53,53
47,47
46,46
47,47
55,55
21,21
55,55
18,18
29,29
45,45
46,46
46,46
29,47
55,55
45,45
46,46
46,46
46,46
47,39
47,47
47,38
29,29
54,54
51,46
46,45
55,55
46,46
47,47
53,53
46,46
46,53
21,21
53,21
30,30
32,32
47,47
55,55
29,21
45,41
53,21
47,47
47,47
55,55
53,21
45,45
21,59
45,45
45,45
39,39
47,55
19,19
46,46
46,46
47,47
55,55
46,46
47,38
47,47
46,46
46,46
47,47
47,38
45,45
38,39
46,46
46,46
46,46
30,30
54,54
47,38
46,46
46,46
46,46
46,46
45,45
46,46
4,27
49,49
55,55
47,45
55,55
47,47
53,46
45,45
46,46
47,47
46,46
45,45
46,46
46,46
47,47
46,46
47,29
41,41
29,47
55,55
4,4
46,46
47,47
45,45
47,47
55,55
55,55
46,46
47,47
47,47
47,47
47,47
47,47
27,29
55,55
53,53
46,45
54,54
55,55
47,55
47,39
32,32
30,30
45,46
47,31
47,38
46,46
45,47
45,46
47,47
55,55
54,49
35,35
47,29
47,47
55,55
46,46
46,46
47,46
21,21
45,46
47,38
47,47
27,54
55,55
46,47
47,45
45,45
29,29
47,47
47,47
47,25
47,47
47,47
45,45
21,21
53,53
45,45
47,47
45,45
49,49
46,46
47,25
54,54
45,45
46,46
47,46
46,46
47,47
47,39
46,46
55,19
55,55
47,47
46,46
47,47
47,47
46,46
47,22
47,47
46,46
11,11
46,46
21,21
53,30
29,29
46,46
47,47
54,54
45,47
30,30
46,46
46,46
30,30
47,39
47,47
45,45
55,55
35,35
45,45
29,29
47,46
21,21
29,29
32,38
32,47
47,47
47,47
47,39
30,30
30,30
47,47
47,47
46,46
35,35
47,47
46,46
30,30
46,46
45,45
47,47
46,46
55,55
47,47
47,47
45,46
30,30
53,21
46,46
45,45
47,47
46,46
47,29
47,47
32,32
45,45
47,47
46,46
47,47
49,47
46,46
45,45
47,47
47,47
47,47
46,46
54,54
55,55
46,46
39,39
45,45
46,46
47,35
21,21
55,55
45,45
47,22
46,46
46,46
49,28
55,54
46,46
47,47
27,25
54,54
54,54
45,45
47,28
46,46
47,47
45,45
47,47
47,47
47,27
47,55
54,54
53,30
47,47
47,47
47,47
47,47
45,45
46,46
21,21
49,55
54,54
47,47
27,27
47,47
47,47
38,32
55,55
47,47
47,47
29,29
45,45
47,47
21,21
53,53
47,47
55,55
45,45
54,54
30,19
47,47
47,47
49,49
47,47
47,46
45,45
54,54
45,45
47,47
46,46
46,19
45,45
47,47
45,45
47,47
47,47
55,55
47,47
54,54
46,46
47,47
35,35
46,46
47,47
47,47
47,47
55,39
46,46
46,46
47,47
47,47
55,55
47,47
47,47
47,47
47,47
45,45
45,45
47,47
31,31
47,47
31,31
46,46
46,46
55,54
47,29
21,21
47,47
31,31
47,47
45,45
53,30
29,29
49,49
46,14
21,29
30,19
46,46
47,29
46,46
47,47
46,46
47,47
29,54
39,39
54,54
47,47
46,46
30,30
45,45
47,46
47,39
46,46
47,47
29,29
45,45
46,46
46,45
45,45
27,25
46,46
45,45
47,47
21,21
47,47
47,47
30,55
55,55
46,46
47,47
46,46
30,30
46,46
21,21
47,39
39,47
46,46
46,46
45,45
46,46
54,54
55,55
18,18
46,46
47,47
55,55
47,47
55,55
47,31
46,46
46,46
23,23
27,47
47,47
46,46
47,47
55,55
45,45
29,39
53,53
55,54
45,45
47,47
46,46
46,46
45,45
49,38
47,47
47,47
47,47
49,49
47,47
46,46
49,47
53,21
18,5
46,46
47,47
54,54
47,47
47,39
32,32
47,46
53,53
47,47
47,47
46,46
19,29
54,54
2,2
46,29
49,49
