pred,label
970,30
6,230
18,26
13,190
180,56
1138,6
950,143
200,106
20,102
178,8
167,30
288,12
1111,21
771,176
850,91
42,216
811,106
868,223
56,8
146,182
928,221
892,151
239,135
1138,142
952,73
858,71
56,143
56,143
647,221
69,365
374,16
896,142
13,143
441,2
56,158
896,107
1349,71
71,12
440,177
88,136
1372,237
1352,46
111,147
200,182
926,61
374,177
663,149
973,30
925,61
288,162
178,40
760,185
13,143
61,293
145,143
178,7
1138,161
1106,162
202,235
200,143
647,209
229,98
75,72
288,3
490,2
1302,214
288,287
1377,117
56,143
663,209
56,143
1375,7
647,241
145,143
186,110
1112,4
56,143
73,38
11,245
178,40
1371,35
1105,175
13,143
569,147
308,235
111,108
1372,71
850,82
1025,324
1138,107
489,148
952,237
232,142
1106,135
794,29
229,287
490,148
896,141
145,8
200,143
892,107
951,62
13,143
1111,230
952,237
146,143
6,143
13,8
178,143
4,41
111,107
1106,161
111,145
146,145
663,163
200,143
56,132
663,131
850,299
1377,117
874,12
56,143
1276,388
141,117
892,145
178,158
1172,10
200,22
490,12
56,143
288,369
69,180
631,390
267,170
111,107
1107,361
13,158
178,40
77,124
985,151
200,143
874,22
56,143
315,309
200,182
111,18
145,8
200,143
6,8
145,143
490,108
892,7
794,108
178,7
200,143
288,143
973,143
868,26
111,2
1364,236
976,60
892,145
892,145
13,143
56,143
896,269
114,53
239,303
146,143
69,226
56,143
56,143
1364,124
56,143
239,162
13,143
200,143
78,249
229,12
141,200
56,143
1377,202
200,143
526,2
850,78
1352,129
794,2
893,369
146,142
1372,35
1321,210
200,143
56,190
141,200
973,143
643,384
200,143
178,41
643,49
78,368
992,310
6,143
13,143
6,143
157,171
896,6
973,107
771,176
202,223
976,62
80,225
56,8
239,4
793,61
817,175
56,8
794,108
1074,354
926,25
840,48
1106,141
1372,171
1106,268
145,143
202,223
146,107
1105,175
1011,301
827,278
443,203
771,328
851,189
1352,323
1108,362
56,8
1377,13
88,106
973,40
643,3
13,143
643,384
13,143
791,231
892,107
288,287
1192,110
952,61
794,81
441,6
111,108
1106,301
374,177
56,8
111,151
56,143
42,111
892,182
441,6
56,132
76,285
1372,73
180,61
45,46
490,384
229,98
56,143
145,143
1321,94
643,106
56,143
489,81
13,132
145,132
146,158
896,142
180,223
4,7
443,27
56,41
374,220
200,143
1108,136
4,143
1138,151
896,142
56,158
568,60
78,124
973,41
18,35
490,108
377,122
276,131
1106,154
141,61
976,62
1377,12
111,182
45,129
1141,326
19,270
1377,200
219,175
13,143
219,130
1119,28
1138,224
178,40
896,169
13,143
6,143
202,32
88,299
1324,135
200,8
850,78
850,28
56,132
157,171
200,151
850,85
811,334
36,193
178,143
444,36
896,271
642,113
13,143
157,202
893,135
146,151
178,8
1028,25
45,333
13,143
13,143
56,143
926,35
896,6
157,13
1372,60
111,145
13,190
308,210
200,143
184,56
115,111
1172,64
13,143
146,147
18,56
178,40
1372,104
850,334
643,161
13,143
56,143
444,34
1335,216
1371,73
951,26
13,143
178,8
799,130
1377,61
1242,375
72,109
50,375
4,19
262,243
569,241
374,177
56,143
200,182
229,29
1375,12
145,8
663,149
568,117
276,163
791,15
1349,30
1084,246
13,143
200,182
1377,61
157,60
1372,118
896,49
1372,214
56,41
794,108
663,18
73,221
1364,225
1106,223
56,7
80,69
178,143
41,72
19,276
785,242
